day,channel_name,spend
2022-01-01,Google Ads,748.27
2022-01-01,Facebook Ads,1594.15
2022-01-01,LinkedIn,1323.36
2022-01-01,Instagram,1041.16
2022-01-01,Email,430.92
2022-01-01,YouTube,1139.67
2022-01-02,Google Ads,1293.5
2022-01-02,Facebook Ads,709.97
2022-01-02,LinkedIn,455.59
2022-01-02,Instagram,1081.58
2022-01-02,Email,1058.11
2022-01-02,YouTube,1021.76
2022-01-03,Google Ads,1036.78
2022-01-03,Facebook Ads,978.97
2022-01-03,LinkedIn,758.97
2022-01-03,Instagram,1174.73
2022-01-03,Email,745.89
2022-01-03,YouTube,1348.49
2022-01-04,Google Ads,1075.72
2022-01-04,Facebook Ads,716.85
2022-01-04,LinkedIn,1064.11
2022-01-04,Instagram,1004.96
2022-01-04,Email,1439.21
2022-01-04,YouTube,834.07
2022-01-05,Google Ads,1086.45
2022-01-05,Facebook Ads,1041.03
2022-01-05,LinkedIn,893.29
2022-01-05,Instagram,709.71
2022-01-05,Email,1088.03
2022-01-05,YouTube,1385.48
2022-01-06,Google Ads,1560.57
2022-01-06,Facebook Ads,849.37
2022-01-06,LinkedIn,478.15
2022-01-06,Instagram,1242.38
2022-01-06,Email,1606.2
2022-01-06,YouTube,774.56
2022-01-07,Google Ads,1107.32
2022-01-07,Facebook Ads,1166.4
2022-01-07,LinkedIn,1284.71
2022-01-07,Instagram,881.01
2022-01-07,Email,980.03
2022-01-07,YouTube,1380.17
2022-01-08,Google Ads,603.71
2022-01-08,Facebook Ads,1216.05
2022-01-08,LinkedIn,1499.24
2022-01-08,Instagram,1259.74
2022-01-08,Email,1033.57
2022-01-08,YouTube,554.86
2022-01-09,Google Ads,833.13
2022-01-09,Facebook Ads,1304.67
2022-01-09,LinkedIn,701.24
2022-01-09,Instagram,1229.5
2022-01-09,Email,453.03
2022-01-09,YouTube,685.36
2022-01-10,Google Ads,1413.42
2022-01-10,Facebook Ads,1792.39
2022-01-10,LinkedIn,431.58
2022-01-10,Instagram,553.58
2022-01-10,Email,1312.81
2022-01-10,YouTube,1017.32
2022-01-11,Google Ads,804.78
2022-01-11,Facebook Ads,856.22
2022-01-11,LinkedIn,900.29
2022-01-11,Instagram,863.61
2022-01-11,Email,1510.16
2022-01-11,YouTube,992.26
2022-01-12,Google Ads,1155.55
2022-01-12,Facebook Ads,951.02
2022-01-12,LinkedIn,1464.23
2022-01-12,Instagram,1083.94
2022-01-12,Email,1330.71
2022-01-12,YouTube,1010.35
2022-01-13,Google Ads,1685.09
2022-01-13,Facebook Ads,1299.43
2022-01-13,LinkedIn,1850.62
2022-01-13,Instagram,1388.7
2022-01-13,Email,1529.09
2022-01-13,YouTube,1238.51
2022-01-14,Google Ads,1081.61
2022-01-14,Facebook Ads,1054.61
2022-01-14,LinkedIn,1152.33
2022-01-14,Instagram,861.61
2022-01-14,Email,664.55
2022-01-14,YouTube,1104.15
2022-01-15,Google Ads,941.37
2022-01-15,Facebook Ads,1255.88
2022-01-15,LinkedIn,1160.77
2022-01-15,Instagram,714.32
2022-01-15,Email,753.0
2022-01-15,YouTube,1115.46
2022-01-16,Google Ads,1217.42
2022-01-16,Facebook Ads,1306.57
2022-01-16,LinkedIn,1033.88
2022-01-16,Instagram,1023.04
2022-01-16,Email,985.66
2022-01-16,YouTube,1141.97
2022-01-17,Google Ads,100.0
2022-01-17,Facebook Ads,945.08
2022-01-17,LinkedIn,1431.14
2022-01-17,Instagram,1237.7
2022-01-17,Email,293.72
2022-01-17,YouTube,923.64
2022-01-18,Google Ads,923.53
2022-01-18,Facebook Ads,542.01
2022-01-18,LinkedIn,1119.41
2022-01-18,Instagram,1499.84
2022-01-18,Email,1091.91
2022-01-18,YouTube,1567.45
2022-01-19,Google Ads,1138.97
2022-01-19,Facebook Ads,561.07
2022-01-19,LinkedIn,1202.54
2022-01-19,Instagram,1182.64
2022-01-19,Email,1591.59
2022-01-19,YouTube,1155.51
2022-01-20,Google Ads,1876.09
2022-01-20,Facebook Ads,734.9
2022-01-20,LinkedIn,913.98
2022-01-20,Instagram,886.83
2022-01-20,Email,1305.09
2022-01-20,YouTube,1595.38
2022-01-21,Google Ads,920.13
2022-01-21,Facebook Ads,905.9
2022-01-21,LinkedIn,610.85
2022-01-21,Instagram,562.32
2022-01-21,Email,875.55
2022-01-21,YouTube,1126.89
2022-01-22,Google Ads,978.13
2022-01-22,Facebook Ads,1471.19
2022-01-22,LinkedIn,776.96
2022-01-22,Instagram,1114.03
2022-01-22,Email,774.5
2022-01-22,YouTube,687.42
2022-01-23,Google Ads,1253.83
2022-01-23,Facebook Ads,856.47
2022-01-23,LinkedIn,1600.17
2022-01-23,Instagram,1378.82
2022-01-23,Email,902.17
2022-01-23,YouTube,1228.6
2022-01-24,Google Ads,852.68
2022-01-24,Facebook Ads,1337.6
2022-01-24,LinkedIn,1184.61
2022-01-24,Instagram,578.76
2022-01-24,Email,866.45
2022-01-24,YouTube,830.3
2022-01-25,Google Ads,999.18
2022-01-25,Facebook Ads,988.55
2022-01-25,LinkedIn,705.11
2022-01-25,Instagram,653.23
2022-01-25,Email,933.75
2022-01-25,YouTube,644.02
2022-01-26,Google Ads,765.61
2022-01-26,Facebook Ads,1253.55
2022-01-26,LinkedIn,818.14
2022-01-26,Instagram,1295.79
2022-01-26,Email,438.51
2022-01-26,YouTube,1071.27
2022-01-27,Google Ads,630.09
2022-01-27,Facebook Ads,1197.76
2022-01-27,LinkedIn,675.51
2022-01-27,Instagram,1709.0
2022-01-27,Email,873.44
2022-01-27,YouTube,1271.35
2022-01-28,Google Ads,839.53
2022-01-28,Facebook Ads,1252.01
2022-01-28,LinkedIn,865.66
2022-01-28,Instagram,908.18
2022-01-28,Email,1371.04
2022-01-28,YouTube,592.64
2022-01-29,Google Ads,731.71
2022-01-29,Facebook Ads,1465.54
2022-01-29,LinkedIn,952.18
2022-01-29,Instagram,1326.92
2022-01-29,Email,1281.44
2022-01-29,YouTube,802.29
2022-01-30,Google Ads,754.02
2022-01-30,Facebook Ads,1141.48
2022-01-30,LinkedIn,1145.74
2022-01-30,Instagram,1394.3
2022-01-30,Email,1257.75
2022-01-30,YouTube,1149.33
2022-01-31,Google Ads,812.72
2022-01-31,Facebook Ads,696.02
2022-01-31,LinkedIn,1525.18
2022-01-31,Instagram,1341.17
2022-01-31,Email,670.59
2022-01-31,YouTube,1357.34
2022-02-01,Google Ads,1506.61
2022-02-01,Facebook Ads,862.88
2022-02-01,LinkedIn,504.88
2022-02-01,Instagram,1184.95
2022-02-01,Email,786.86
2022-02-01,YouTube,742.86
2022-02-02,Google Ads,657.71
2022-02-02,Facebook Ads,1002.38
2022-02-02,LinkedIn,739.58
2022-02-02,Instagram,1138.46
2022-02-02,Email,1667.27
2022-02-02,YouTube,870.9
2022-02-03,Google Ads,785.3
2022-02-03,Facebook Ads,1296.08
2022-02-03,LinkedIn,662.18
2022-02-03,Instagram,749.91
2022-02-03,Email,655.2
